PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	Etiqueta
-1091.82174368527	5673.332655256248	-2502.365006168516	-7614.774280055229	10326.74216006028	931.6373877816761	7732.622634379233	3610.980357387031	-6959.831418737878	486.1558981863816	-2106.8629933334337	-834.2428510934267	305.1945321386505	-4839.67194390284	954.5398736443381	-2994.351948684806	-1664.1909899562506	1676.1276796307898	-1743.4900479842956	-478.4179701341407	-3168.9827432109073	503.5627560894418	-751.8623700388948	-1949.1984232460527	430.6664966006166	1281.1069290486234	879.8997956860587	619.820871721758	535.8441802103205	1346.551177802015	690.3903731501847	1685.4387885291467	-510.698137544746	-369.7943381037447	-307.8834615760315	804.4130672983454	-199.76018274104504	-1031.6952948849373	-685.3690817690842	-71.45459126245636	-661.5025266378416	265.2545763615042	-1234.0148976572527	-927.4133404341189	-1171.4688895371091	917.5114100418533	-1308.347229374154	232.4785543841965	-255.3138352624428	1275.9276219669669	Noelia R
646.6349320780416	7829.805844711248	-1063.2825918370604	-616.3111822804128	5346.349175636178	-1568.1558684716983	-592.7838583344701	3900.5737612673975	3217.0675707337045	-682.8513384458747	435.48734119590586	252.03919249582907	-12.24032283914823	-98.01995609307039	21.73109564559756	672.2882802809869	-2097.893983740899	693.2129255283004	1091.4750896515443	2398.311273221484	57.13078838391037	1185.6636585620217	1399.2381333873036	-1896.5363109560228	1954.754004860158	1445.7112370880625	-2001.653889373917	649.234321294525	1423.4035302001798	359.98296403331324	572.072783018208	1456.3874763690587	1347.4389522454396	-237.27115576847328	132.6973131575008	-697.8314126304579	246.69172590941525	328.1296357837014	561.0551189357795	1615.006501797879	882.6601886593618	-277.0767249056721	-871.659462935853	-912.75527145108	2663.871400862414	-493.36441291684355	1045.2478843150363	-1015.0539758035046	1349.3273633692386	498.54530444537187	Noelia R
-55.778532518546754	3214.0835954207787	-1929.346494943137	-3703.2048945048814	6403.441333544047	-1492.8032877953865	2570.46124766673	4459.025686606323	-4598.7506532729585	2518.780642582979	-1029.9631397752732	-267.9380903538727	2197.7135322838108	-926.332533663438	-2175.4522825117388	698.0590989633882	-960.2791738566136	-1343.672249243136	264.37292428998427	-1191.6573905840228	-1858.6994257716674	-325.64170792739884	-622.6199558785861	-416.42991581530845	-1022.0902860914897	979.1191225394376	-570.9276972387198	-851.0266092754101	-1203.4252039892035	1671.9497170302825	-498.96157627632664	675.9808160785476	564.1717635962134	1160.6744309371504	-1124.5108349902514	-1164.0486383712841	-832.6463282843175	-883.7348279938122	-189.57761942839477	-2155.158073905519	156.36151012015438	-2030.4857940054549	1229.551572863484	566.3297919252554	-953.9352462727817	-1540.7231052228137	-540.3435801472785	83.07798740460906	1031.8026115908801	-822.5327316687986	Noelia R
5115.604060338375	71.77895166782027	4027.6863028954385	3643.1517533675565	3370.4897582014996	-3759.6149484674975	1142.8618554368904	-4424.70517744146	-498.33552762021225	133.69243385782164	2203.1911333797357	1088.7801940441232	233.87486123732853	2542.3948991237517	-899.6888609662868	-2481.949268999424	1482.2415045910016	-59.6820020328814	-1372.0912086754354	-4642.756153064101	1586.7867623944492	1552.724712440072	1222.6217051955346	-1745.136876604515	108.0130232144656	1493.8783849107049	696.7076140257857	-526.7030149237124	-1526.1434268354417	-1203.079719219813	979.3974125874465	-714.2560953438249	-575.8057576364223	895.0126826967095	-1744.272091201908	65.94215475179992	-2167.595986585194	-2707.3245093076484	-235.5814434040189	960.6201104565332	455.3460520963335	-834.5791598436883	-651.556132382791	-1617.5128196413161	536.8638819065271	-353.41508209439223	-164.6106760776946	-486.9330775953001	1236.6864160121663	1397.3017418053532	Noelia R
-1801.0528302304144	5222.269610291755	-1665.4975287412497	-6669.456456159487	9158.477975714402	1395.8205711020485	5627.861924934686	3494.491426995909	-6555.345723153101	1619.6908613048797	-1384.3448064032539	-531.9923078490465	1396.0390960195853	-4463.802958172164	-14.517838941840099	-2440.17096939661	-1275.7381274675838	1339.9551118922918	-787.4928309916485	-1833.757574370789	-2985.38381939603	-431.27523800812	-1058.768906883878	-1824.7347872558564	398.49623758782735	1291.2736507244658	618.6619319871099	81.29214240335632	97.51487085382746	1540.705727642565	-245.7125718803857	474.8799034031996	-793.1307626451274	-363.6795266169997	-36.82619042475472	-54.0158164356975	159.74706441268742	-1346.937178212134	-627.8922459189873	-1447.0242264016383	-917.2395928406256	-368.1856923629364	-886.8654646302316	-1527.1951960691806	-2614.2107514517875	1217.8856764200168	-1505.067525128687	971.8901395116762	-167.67504254014116	1222.55582123544	Noelia R
4717.799055274812	-1082.100753941888	-3384.1181082749117	-4799.522112868624	122.77534399379304	-1121.5442376714159	5538.0510748027	-1026.267933991702	-870.6061882594497	-790.0343231483673	-3410.134466169516	3047.85483361417	-2985.6490303400965	-593.5925219036696	-390.5452582951849	-902.1612618329953	1142.7779359914261	893.808713393655	-1692.8097990223098	885.775718333698	336.4063215238065	-859.0379368096687	-1271.279859837546	1747.898733827949	442.90458375620346	-1036.5395319137324	-900.2993412712644	-436.4168352014696	1596.6579062189755	93.35116405198463	495.9046204974497	-643.5799885875613	-99.40276357179233	-1424.2937027047972	752.3900788712848	154.46234796490268	-1539.4469987210794	-611.5135575408932	-316.67390093211367	760.6909850290558	1709.7070321768247	645.5491461625844	103.99051382856992	129.4631235507525	-1056.7470365055608	182.92362823787374	830.8078937969499	846.421029884194	589.6973880129027	-297.9245639858915	Noelia R
4498.2929143353085	1485.1776634946907	-5508.329357815993	-6721.086982717873	5853.445415031864	58.38900956509061	7983.3090529144065	2877.3711917362666	-4852.084129680352	-2756.191519140308	-820.7031268627806	792.4129443562776	-1944.3061808813247	-946.0321041724453	1839.0650092840078	-628.8751769696673	2363.8769629246394	-646.4363402650193	-2321.6287418254415	1239.711813802418	989.6867451822864	1385.432250940485	-1255.5639484631115	367.7525123333301	-1129.713803035542	-125.1993441119733	-899.8456693848723	-1180.6721582950345	1043.055265357701	-144.30541991044979	429.791797601311	-901.8201850621344	-1781.8686170128558	1302.8320340115724	746.7432187751713	-232.02552617185952	-779.7577144518137	1734.2476864897417	-1401.8103589550637	1529.7876358471242	701.9123892988073	905.6655979999932	-255.29298333409054	447.2520563975077	1342.4689973901009	1161.5611549287837	1956.6356773547855	-87.35363697459513	919.3065509040207	718.7015641751241	Noelia R
531.764933735864	5205.724991312639	1424.6164536135825	349.6323031399957	5565.641732538624	-299.2486893843061	-915.0108367876167	606.6069946018051	5314.661566281094	-2253.369169946767	2803.104521685892	-2504.6824414190605	1164.503275146804	928.4268969630208	235.53119442123807	1344.651677566275	520.9886739990071	-142.58508284817577	440.90509178198823	-1473.899125594838	288.243882321517	3265.067643570938	510.69886598575465	3228.5130826156633	151.76619813073685	-950.8474820163441	767.9030980405255	34.38178110170094	1238.8579052028438	33.496424331904244	-43.30869933575456	-1698.1142246655568	-2168.330112052497	-525.2986825449896	1237.811140257944	24.65813914383303	-806.6506074153232	734.6177356466857	1251.5722154256375	722.3929945671765	809.2120917482289	110.53701791299515	1933.163906135091	2045.7927516241843	623.0354227658054	-265.49593413656936	-1536.6195855134397	783.0038514728078	-357.19583671774416	499.0480974137512	Noelia R
4945.912139209205	358.56317807678545	-6766.318059247294	-6239.283734200903	4894.007032333934	-378.61751523249137	6909.332310050109	2239.436076488879	-1097.7547773569495	-3647.410246226666	1128.3337076438218	2628.138751688183	-2893.0246302502474	543.8131780889023	2802.4115679309575	-1024.7892777345796	4590.629222789131	-2117.8078254112656	-2124.772479538285	1442.4529645973462	905.4573745287526	405.11072554093334	-7.196682720010392	-133.74465217387774	-2447.095180465712	-329.81742905766635	-1665.5685866564666	-1417.7810786192438	1741.3342120442198	-826.5742961253777	1313.040373615423	-2131.236446007746	-3291.0903331443596	708.3776535785382	1302.9153594804402	486.15016593497313	129.3421574952866	799.8698439118953	-3029.368556611238	-23.624986549077654	540.4803372088463	705.7151744028272	-974.7166741917614	-957.4896659201595	-1684.7541756774779	759.5382885194995	1287.8980373588645	207.0852528419977	34.27650927810157	569.8151686871405	Noelia R
2577.6222577573376	-192.1995070865521	-4653.683144162641	-4289.081515030434	3830.840086341536	-2611.442320509402	6526.779626553974	-361.95151410534254	-3647.469790226269	-769.8511260821714	868.6896143667118	742.2889262532395	-2585.8768412658433	643.4329797564202	2581.53286255979	-1191.0406523634613	-65.23481780518237	-339.9438954852249	-621.2520727930945	1514.0720624125902	549.5315995779064	-280.89782335141683	769.5012659363802	-754.1487315794598	-1159.0171217229156	13.953321187271204	-1927.7643054692646	-1813.5551657254205	1906.7879509516467	-1230.8965381771009	793.2139471649832	-947.6486865045943	-2165.4481139661634	-123.9137162836594	1116.4329329831355	-541.0350502746327	309.20659575428243	-177.46904671498885	-1523.2130552648182	-674.7424147307962	-285.1538731538469	367.0887949755004	483.1678103588835	124.36767020131566	-1316.386422267518	308.2609427909361	-320.9445103474328	-1623.4304245527528	-446.7831770233096	255.6526645997219	Noelia R
930.6427565479131	6960.314291895347	-1487.839474289012	-1839.229910924951	6474.0654929463535	-1914.4841673003132	-271.1136222138599	3769.814673991523	3408.2645710262414	-41.133152963743505	519.7580733306951	-1040.295565269721	192.55837629519368	303.4124061443951	66.50165789352612	1375.8531628637784	-1093.2518502853839	401.54285260311053	1344.0905758236552	1625.9505419174877	510.2715121614898	591.4550100020609	457.2533649260951	-1974.413306056599	1976.1674348956983	1037.5669890855002	-966.4281931598757	663.5688964678415	2072.4634694512943	477.5240261233997	58.194171599701896	1232.970443442056	1808.777634412378	-815.6422294340183	-1132.4563906688836	-1018.7088756948251	190.92185526591723	1581.8405155385374	748.9525677784678	1533.9523293364302	157.76963904125083	-398.6612095940057	-890.3244924157289	-1570.7698875943147	2930.498753580226	-323.42291831211236	955.071833610623	-1464.6346302468062	391.7828695993765	-599.9642051328493	Noelia R
