PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	Etiqueta
1043.295615869404	5320.730936762988	305.4038887565071	-6142.031765872536	9935.075512778249	925.7634194656123	9348.012501751127	4886.575296311694	-1912.6146326156054	501.5899954070328	-1614.036026538851	-370.8674359455588	-2942.4938791263116	-1427.725378596404	-2662.140496810112	-694.8401206841593	-412.7286921332723	-1092.7912768406272	-201.5650052833643	3538.6756419027465	392.8960795343057	-587.9419877836963	-2312.008874744913	-670.9794859428371	552.5836437235878	-1229.852776167115	1779.825630645401	-1233.1150618280965	-226.01810397117399	-618.3161691063293	-1116.3513605287023	1321.4644374205197	978.4358677995641	-1960.4481028549594	-154.0623527978054	-43.7037216238175	-2313.5151148425425	-90.2826916229582	-146.18863042387733	-871.8061267048105	28.058847055908483	31.8362546825442	-690.5541677129778	1125.6924978979343	-740.314225715435	176.84780796222452	1174.943323477786	-1400.3008574229025	221.67546505553094	-465.92456153009255	Noelia R
1242.1558999109536	6818.557108060544	2090.4617790873194	-900.1169072634659	6356.845041523672	1122.4255688699961	-1009.8889924484213	302.52791441181654	3118.2361295152127	1939.3070372752388	-67.49843257240599	-820.8213839121084	-844.8825433957126	-33.30387820432995	-1859.6367079579109	-1000.0069555153169	1326.6746388858564	-1277.578945641701	336.4948027507466	478.77281383906876	180.82644122650018	-469.1437245242609	338.1859400750276	79.67955705578616	-574.7479653690966	-3594.7975518867274	-2428.633097556228	-233.4250181655303	-484.46800870398556	317.32952420814365	374.186141990463	857.0049449440431	3031.026200749284	-1903.4950433192923	-587.3148070379049	-961.0839829520964	-479.39248299948156	542.8100649125951	-126.32785484396213	-185.00118391865172	443.787408095771	-261.8437041069557	116.64497967492929	2174.5503867412795	181.16861384992933	1046.3628797642382	-90.63270908654759	-367.8813477065668	-165.16276996876374	1334.14949110953	Noelia R
-1035.9769729298014	2679.2301767721583	-410.16466180581494	-2732.9134610678275	5808.232675747348	-917.438027012605	3355.3904778901633	2033.6215024755563	-1613.1717367947224	2160.2063756237403	-2554.1391966430488	416.1794369638623	609.8305192288184	-1330.0532954662556	-2250.934590874563	1884.0883541347919	-368.5589956875808	-6.591294521460844	730.5308985740529	-1571.0957745925	-3565.506455136499	-1207.8232202478196	-522.7507310111498	-419.98139910994684	-757.2205788276099	-646.7009410325389	-739.3801299963485	-217.74735301615704	-593.3383911991134	-1657.9196468199975	1286.2946477403336	840.4323662019805	-723.6115894027411	-437.8467113274264	887.7309764434692	-128.88712392310256	818.2431664072733	281.00257172081797	1373.267219286813	-905.5459159882366	-804.2803754576062	-591.7718322610224	-1055.8274270906213	-430.10952559177923	1223.5477417790792	-104.92770223519818	1039.9598969208682	-351.44301914614545	-6.923909338725916	-429.4532280506886	Noelia R
-4674.091929420537	94.58000755115889	5031.617067839382	2875.6979861991535	2609.3112285818625	2855.1231067311132	-1348.7664328242165	-3426.233755128487	-1780.1284987192005	-202.01624787150396	1872.8535356881362	-1570.9099758849168	436.74141523069767	1997.9075691443109	970.8071878151986	-949.7694333041314	-4740.390556624662	1193.0164748846637	-333.85283095054103	-865.6951390497185	-214.97323113269448	1849.387498781166	-394.17668088303486	-14.657636592169478	-94.4099832193579	-1274.0793709359239	1047.1431400774297	1545.9794347465854	42.51459469847736	-1577.2890460035214	513.7951165770498	189.0215358464631	-3570.932528620793	212.3385741028593	1315.812520781835	-1037.65510351482	-966.2768067128434	-116.75852883576674	55.96396398502513	-1404.5307986315208	1915.485033498625	-1595.8080017410364	770.6515883061846	-1142.884549295795	174.19860918068412	325.27221495691396	-2241.9568946854756	155.69900225790852	-38.62503462893298	-1047.9214061708617	Noelia R
910.9721955615277	3790.922794280891	-96.12556029409774	-6077.4777114798435	7280.475657016574	-1034.5516600119242	9352.364541849527	3955.1680288098005	-4394.431482499558	1682.6299665337035	-2670.41569665242	-426.5477956647092	-2196.9477723686605	-1027.489124992454	-2072.684936911709	846.3703559277208	-1205.1354563882885	244.38181033954731	-951.2326301673288	2512.1439042357556	-1835.0786938783685	-1866.464136702026	-883.9379170897603	-871.3534803008918	229.53584502998459	-433.7728287512757	346.5460204119079	-2752.7497963807655	-255.36799955479535	-1391.5394202984835	-498.47022998386717	1145.5761045281058	-1595.973332328346	15.167600858207232	623.025051512139	-140.6967220231858	-2317.7164495392863	688.5542373896621	107.15477577720738	-434.9715940494464	1278.794429033354	804.1967063877654	-138.04808978725384	-790.6496031895488	613.9502829186857	-691.3104980875876	439.48590118876507	-1202.351478309847	24.40152123123782	-2148.1274930456075	Noelia R
-4075.847718114298	456.6659045432573	-3522.678071397363	-4014.239959274612	1433.6404129949815	1671.6788869988368	5257.337856354357	-1674.5027803091205	1516.866773598256	-1492.9027454822656	-2067.9169156153475	-844.144597560204	-809.2317357460103	263.83861980360354	2752.452158996424	1220.9793618900105	699.3677507586563	-3092.961118501509	-989.9672665912565	-728.7835897056142	602.4343213798335	202.22047450185246	-533.6889119768302	-7.855558915758385	-1689.6654316085944	346.5900914014602	-571.4657745114489	555.9658728664856	-1329.1967948241615	1184.379593782323	776.2085130296114	-1528.5783769112463	612.0887853856623	1187.5741906549274	584.3950073598443	1444.6338946968842	-346.20890966467823	-506.8459084486462	249.75175767033824	1266.1875062174367	-241.60229051544096	-1278.2244393647904	1164.159703732936	286.8358688051035	823.3997849780083	-1139.2684759936847	-1104.934807842582	953.4215643184962	-200.11298037675795	-1676.4851254695345	Noelia R
-3766.6995987676505	1303.7571358804742	-3882.7879457975782	-7190.220643933622	6346.987105565991	4444.684709395683	8348.711388022235	3745.664159914986	980.202844784056	-1029.6025242566852	55.866483473141095	-1457.2692291332373	-1134.812867084252	-1090.8066582959789	3183.545290061691	369.0046817580641	222.96923853388432	291.176071887299	-438.69358600927586	-2294.6316390149263	1186.3393398098417	434.49045031314705	-2372.0758841028874	1053.6037747121195	-1461.391574067443	-126.45977271859878	-649.7068585087718	1612.9675535324207	-2630.7196599997633	481.1923902799319	-842.2608628213887	-118.1526617278288	813.3559041265866	882.4989446976197	1062.1122872555807	701.8676600316982	1690.176136548813	-159.1653194526531	-30.407682722029204	502.45111106718826	702.220109096801	-1719.4286418282547	168.75544111988353	322.6540496031559	-1085.444736703331	765.0750334063149	1072.1939502856126	-672.4039064651536	273.7978130045171	-878.3316571188179	Noelia R
925.2600146063395	4099.958018264741	3468.0281247645776	1624.6739075365872	5660.851755353806	-1255.6690849211068	-2407.436294284841	-2188.587093916409	2812.636896643864	1720.3906720896625	2681.2957158219606	1980.8350363837092	-1193.870731003631	-313.81127736485536	-2134.175805103886	-3517.2715280700254	-779.0025404638252	2097.36611656247	901.8750859124222	-115.75060642722723	1285.9081824457676	741.8357144131128	-228.55877515112007	951.4475567342449	376.4706508196179	1169.6785570797026	947.4068417515584	1634.5541390743886	-503.38038524939475	1651.649033721928	1171.6701019066563	-456.6962829565689	599.8941728013433	1178.2597868989535	2455.1552281664995	861.1166179388395	1270.8712621850993	-62.940813290312974	1782.4438952403857	-0.12486566697320077	95.08701944728921	304.7643234524747	-411.16272285373356	-428.57362657956986	-665.2844873671746	-917.0700149944074	471.55987553770046	1477.443571421697	-745.961354286976	526.5737884451376	Noelia R
-4257.035848834962	1746.8307652255958	-5587.525733681693	-5927.320274453885	5876.998837332918	904.490491989724	7132.140660282676	461.60503728800893	1723.2311964705082	919.3944413031552	1842.0957076144243	-1424.6412926503417	-60.19742054953606	2191.724841503045	1133.4144336520144	2184.5707056303277	74.52066063425882	-946.464583919202	1218.206074955043	-1898.9919229565692	-85.94270735168563	1183.7428545405471	-2609.006931484802	-205.15882539244294	-2268.1672682024137	2019.9442528147788	398.05620618575557	3042.026694783729	-4040.4407915168335	192.01665897276422	-3595.3984106293833	277.19766471225597	19.53322511707371	2034.8923267120995	484.6185376338669	283.7460906515146	-275.7945489270285	-1572.7519843223963	-720.1678782059563	252.03731449479443	1792.9665913722336	1082.0814838693966	-520.988983407797	1042.139879172215	224.79487978174274	604.6852102187452	1500.575225167601	-977.5381104398933	-432.34363412136526	-581.3428597377106	Noelia R
-2562.714744940665	587.8107144939012	-3768.5266336282225	-4134.100832323292	3338.3283141810134	2267.511177427577	8054.347908616496	-1029.8646592931455	-942.5127721703401	337.76844656341405	289.078445488852	-346.9311627575344	-539.7913129509656	2318.359329723329	413.77341708845495	832.6098478241994	878.4914130959556	-2956.494501141617	-470.6427814443233	-290.6743576668724	-505.9289318315473	795.1916512079849	-1219.1447599087742	-631.0694438791704	-1667.2942526099052	1356.4493273847315	-43.10163662202979	1283.7205777766749	-2653.607374812036	77.82617859140511	-85.20983369696985	-193.13854931794233	1006.5793319589881	1063.8692944197792	941.9926899897512	1391.9367975784025	20.68549180836083	-1085.1172535142268	728.0908062144636	-540.9362285081985	877.5475527265191	662.4965768477938	-478.02618016713683	-650.9934455607009	605.5192159199235	-1171.7892728150473	422.73456822929484	1343.251773863583	735.7870015697769	-552.3642841646273	Noelia R
